die,avg_temp_c,max_temp_c
base_die,180.11690692335023,194.15865478515627
dram_die_1,179.71601226811325,194.7741638183594
dram_die_2,179.27979211275286,194.69490966796877
dram_die_3,178.80241643855072,194.38250122070315
dram_die_4,178.28452213813986,193.8902526855469
dram_die_5,177.72535312686924,193.2187438964844
dram_die_6,177.12707371741737,192.36953125000002
dram_die_7,176.48743433470804,191.20589599609377
top_die,176.380573922323,190.68386230468752
