die,avg_temp_c,max_temp_c
base_die_phy,183.65861242320244,193.67861328125002
base_die_tsva,177.98452178918635,188.3437438964844
base_die_da,184.52859774504887,193.66872558593752
dram_die_1,179.71594336013237,194.36434326171877
dram_die_2,179.27968892531354,194.3338562011719
dram_die_3,178.80230177289303,194.05510864257815
dram_die_4,178.2844027415252,193.58706054687502
dram_die_5,177.72523852284314,192.9334655761719
dram_die_6,177.1269701345204,192.0977722167969
dram_die_7,176.48738207411867,190.94402465820315
top_die,176.38053291867283,190.42254028320315
base_die,180.10095130936895,193.67861328125002
