die,avg_temp_c,max_temp_c
base_die_phy,95.03762053436704,105.90670166015627
base_die_tsva,81.21694467258226,96.02590332031252
base_die_da,84.22779157532287,92.80080566406252
dram_die_1,84.5432571828848,106.77687988281252
dram_die_2,84.5940223540961,107.03701171875002
dram_die_3,84.60372185642358,107.07760009765627
dram_die_4,84.57288888889155,106.95964965820315
dram_die_5,84.50089094069641,106.6833435058594
dram_die_6,84.3895945246254,106.2352233886719
dram_die_7,84.23683867625388,105.49868164062502
top_die,84.20073011607066,105.0118347167969
base_die,84.43270688035031,105.90670166015627
