die,avg_temp_c,max_temp_c
base_die_phy,100.16903221022895,111.9467712402344
base_die_tsva,80.46522320430623,99.78634033203127
base_die_da,81.0427360716167,89.4655700683594
dram_die_1,84.60248157960486,112.64895019531252
dram_die_2,84.65294756632716,112.74001464843752
dram_die_3,84.66234308706008,112.64724121093752
dram_die_4,84.63120621961716,112.41384277343752
dram_die_5,84.55890180417457,112.04058227539065
dram_die_6,84.44730427542045,111.5156188964844
dram_die_7,84.29424784314577,110.71758422851565
top_die,84.25801220821866,110.2269226074219
base_die,84.49261193558735,111.9467712402344
