die,avg_temp_c,max_temp_c
base_die_phy,215.3178073448489,230.19606933593752
base_die_tsva,173.02686257871719,210.2925964355469
base_die_da,163.81225728722345,172.41314086914065
dram_die_1,179.71608202902726,229.84481201171877
dram_die_2,179.27984166814272,228.95253906250002
dram_die_3,178.80243951138434,227.92449340820315
dram_die_4,178.28452889424383,226.81514892578127
dram_die_5,177.72533866872345,225.61422119140627
dram_die_6,177.12707958713844,224.33840332031252
dram_die_7,176.487502444465,222.82760009765627
top_die,176.38015904611555,222.28359375000002
base_die,180.10286073821948,230.19606933593752
