series,scenario,die,avg_c,max_c
A,s0_uniform,bump_layer_1,179.911,179.911
A,s0_uniform,dram_die_1,179.71300000000002,179.71300000000002
A,s0_uniform,bump_layer_2,179.495,179.495
A,s0_uniform,dram_die_2,179.276,179.276
A,s0_uniform,bump_layer_3,179.03700000000003,179.03700000000003
A,s0_uniform,dram_die_3,178.798,178.798
A,s0_uniform,bump_layer_4,178.53900000000004,178.53900000000004
A,s0_uniform,dram_die_4,178.28000000000003,178.28000000000003
A,s0_uniform,bump_layer_5,178.00100000000003,178.00100000000003
A,s0_uniform,dram_die_5,177.72200000000004,177.72200000000004
A,s0_uniform,bump_layer_6,177.42200000000003,177.42200000000003
A,s0_uniform,dram_die_6,177.122,177.122
A,s0_uniform,bump_layer_7,176.803,176.803
A,s0_uniform,dram_die_7,176.483,176.483
A,s0_uniform,top_die,176.40500000000003,176.40500000000003
A,s0_uniform,EMC,162.72700000000003,162.72700000000003
A,s0_uniform,base_die_phy,180.14700000000005,180.14700000000005
A,s0_uniform,base_die_tsva,180.14700000000005,180.14700000000005
A,s0_uniform,base_die_da,180.14700000000005,180.14700000000005
A,s1_phy_moderate,bump_layer_1,179.911,200.997
A,s1_phy_moderate,dram_die_1,179.71300000000002,200.538
A,s1_phy_moderate,bump_layer_2,179.495,200.08500000000004
A,s1_phy_moderate,dram_die_2,179.276,199.63300000000004
A,s1_phy_moderate,bump_layer_3,179.03700000000003,199.187
A,s1_phy_moderate,dram_die_3,178.798,198.74100000000004
A,s1_phy_moderate,bump_layer_4,178.53900000000004,198.30100000000004
A,s1_phy_moderate,dram_die_4,178.28000000000003,197.86200000000002
A,s1_phy_moderate,bump_layer_5,178.00100000000003,197.42900000000003
A,s1_phy_moderate,dram_die_5,177.72200000000004,196.99600000000004
A,s1_phy_moderate,bump_layer_6,177.42200000000003,196.56800000000004
A,s1_phy_moderate,dram_die_6,177.122,196.14100000000002
A,s1_phy_moderate,bump_layer_7,176.803,195.72000000000003
A,s1_phy_moderate,dram_die_7,176.483,195.298
A,s1_phy_moderate,top_die,176.40500000000003,195.204
A,s1_phy_moderate,EMC,162.72700000000003,179.62900000000002
A,s1_phy_moderate,base_die_phy,199.15800000000002,201.543
A,s1_phy_moderate,base_die_tsva,177.03200000000004,190.87600000000003
A,s1_phy_moderate,base_die_da,168.29700000000003,168.514
A,s2_phy_heavy,bump_layer_1,179.911,215.45100000000002
