die,avg_temp_c,max_temp_c
base_die_phy,156.87843753169457,166.79726562500002
base_die_tsva,128.68452955407417,153.52834472656252
base_die_da,122.54147558518788,128.27541503906252
dram_die_1,133.14400238393705,166.5631042480469
dram_die_2,132.85317876983726,165.9682556152344
dram_die_3,132.53491558419634,165.28289184570315
dram_die_4,132.18964791672963,164.5433288574219
dram_die_5,131.81686112947077,163.74273071289065
dram_die_6,131.4180278284838,162.89217529296877
dram_die_7,130.99164750317553,161.8850036621094
top_die,130.92008567739433,161.5223327636719
base_die,133.4018530542653,166.79726562500002
