die,avg_temp_c,max_temp_c
base_die_phy,154.9267172234193,162.94280395507815
base_die_tsva,150.38748100780347,158.67482910156252
base_die_da,155.6226793163667,162.93477783203127
dram_die_1,151.77260522776632,163.49135742187502
dram_die_2,151.42360864898365,163.46700439453127
dram_die_3,151.0417095001092,163.2440124511719
dram_die_4,150.62740389985004,162.86959228515627
dram_die_5,150.18008757389737,162.34673461914065
dram_die_6,149.70148797372264,161.6780944824219
dram_die_7,149.18982879015905,160.75509033203127
top_die,149.10435028231714,160.33791503906252
base_die,152.08060799721113,162.94280395507815
