name,n_dram_dies,bump_thermal_resistance_mm2k_w,bottom_htc_w_m2k,total_power_w,stack_height_mm,base_die_avg_c,base_die_max_c,top_die_avg_c,top_die_max_c,solve_time_s,error
baseline_8hi,7,,,16.0,0.66,114.72897662789141,122.21791992187502,112.7361269462132,120.36452636718752,55.50838689999364,
stack_height_4hi,3,,,12.4,0.4,97.00651568415037,105.62868652343752,96.37472146000513,105.3404479980469,61.47835530000157,
stack_height_12hi,11,,,19.6,0.92,132.99478809328045,139.78048095703127,129.09605785788168,135.83449707031252,56.67279430000053,
bonding_ubump,7,4.2,,16.0,0.66,116.08635978617102,123.43251953125002,112.7360371671169,120.2675720214844,63.02699529999518,
bonding_hybrid,7,1.2,,16.0,0.66,113.89217603691036,121.49959716796877,112.73635966861497,120.43679199218752,87.09222930000396,
cooling_top_bottom,7,,2500.0,16.0,0.66,54.86451648227201,61.8526550292969,55.05280008819413,62.2329040527344,55.998675199996796,
