die,avg_temp_c,max_temp_c
base_die_phy,180.25410890123035,192.1567321777344
base_die_tsva,146.42130130626438,176.23391113281252
base_die_da,139.04962124676808,145.93032226562502
dram_die_1,151.77268544604465,191.87569580078127
dram_die_2,151.42368874872912,191.1618591308594
dram_die_3,151.04176039182184,190.33937988281252
dram_die_4,150.62742405812367,189.45186767578127
dram_die_5,150.18006444709928,188.4910827636719
dram_die_6,149.70145114039659,187.47039184570315
dram_die_7,149.18978482592172,186.26174316406252
top_die,149.1039099955656,185.8265319824219
base_die,152.08211081633314,192.1567321777344
