die,avg_temp_c,max_temp_c
base_die_phy,135.77213111978,142.45211181640627
base_die_tsva,131.98950303885076,138.89568481445315
base_die_da,136.35226495784005,142.4456726074219
dram_die_1,133.1437691099408,142.90923461914065
dram_die_2,132.85292964747876,142.8889099121094
dram_die_3,132.5346673140377,142.70308837890627
dram_die_4,132.18939687029481,142.39104614257815
dram_die_5,131.81661700151582,141.9554382324219
dram_die_6,131.41776846905032,141.39833984375002
dram_die_7,130.99137490698635,140.62917480468752
top_die,130.92014224313678,140.28151855468752
base_die,133.400442942885,142.45211181640627
