die,avg_temp_c,max_temp_c
base_die_phy,133.5027393629284,141.43782958984377
base_die_tsva,110.94766994225915,130.82268676757815
base_die_da,106.03327379728782,110.62041625976565
dram_die_1,114.51524278544503,141.25051269531252
dram_die_2,114.28258201580735,140.77462158203127
dram_die_3,114.0279689847881,140.22634277343752
dram_die_4,113.75175171575351,139.63469848632815
dram_die_5,113.45351871754329,138.99419555664065
dram_die_6,113.13444865130377,138.31377563476565
dram_die_7,112.79334156424592,137.50802001953127
top_die,112.73609184076992,137.2178894042969
base_die,114.72152440464731,141.43782958984377
