die,avg_temp_c,max_temp_c
base_die_phy,126.61811596869158,133.50774536132815
base_die_tsva,111.96927592997663,125.7114196777344
base_die_da,110.78325815294052,115.52773437500002
dram_die_1,114.51524657263347,133.55440673828127
dram_die_2,114.28258123866614,133.2625671386719
dram_die_3,114.0279677113413,132.87435302734377
dram_die_4,113.75174806087287,132.41982421875002
dram_die_5,113.4535152655943,131.8964782714844
dram_die_6,113.1344387106135,131.31020507812502
dram_die_7,112.79332598440423,130.58095703125002
top_die,112.73617363912926,130.2956481933594
base_die,114.7211412711642,133.50774536132815
